165.105487528,"101.33 bpm"
165.697596371,"97.51 bpm"
166.312925170,"99.38 bpm"
166.916643990,"99.38 bpm"
167.520362811,"99.38 bpm"
168.124081632,"99.38 bpm"
168.727800453,"99.38 bpm"
169.331519274,"99.38 bpm"
169.935238095,"99.38 bpm"
170.538956916,"97.51 bpm"
171.154285714,"99.38 bpm"
171.758004535,"99.38 bpm"
172.361723356,"99.38 bpm"
172.965442176,"97.51 bpm"
173.580770975,"101.33 bpm"
174.172879818,"99.38 bpm"
174.776598639,"99.38 bpm"
175.380317460,"97.51 bpm"
175.995646258,"99.38 bpm"
176.599365079,"99.38 bpm"
177.203083900,"99.38 bpm"
177.806802721,"99.38 bpm"
178.410521541,"99.38 bpm"
179.014240362,"99.38 bpm"
179.617959183,"99.38 bpm"
180.221678004,"97.51 bpm"
180.837006802,"99.38 bpm"
181.440725623,"99.38 bpm"
182.044444444,"97.51 bpm"
182.659773242,"101.33 bpm"
183.251882086,"99.38 bpm"
183.855600907,"99.38 bpm"
184.459319727,"99.38 bpm"
185.063038548,"97.51 bpm"
185.678367346,"99.38 bpm"
186.282086167,"99.38 bpm"
186.885804988,"97.51 bpm"
187.501133786,"101.33 bpm"
188.093242630,"99.38 bpm"
188.696961451,"99.38 bpm"
189.300680272,"101.33 bpm"
189.892789115,"97.51 bpm"
190.508117913,"97.51 bpm"
191.123446712,"101.33 bpm"
191.715555555,"97.51 bpm"
192.330884353,"99.38 bpm"
192.934603174,"99.38 bpm"
193.538321995,"99.38 bpm"
194.142040816,"99.38 bpm"
194.745759637,"99.38 bpm"
195.349478458,"99.38 bpm"
195.953197278,"99.38 bpm"
196.556916099,"99.38 bpm"
197.160634920,"99.38 bpm"
197.764353741,"97.51 bpm"
198.379682539,"99.38 bpm"
198.983401360,"101.33 bpm"
199.575510204,"97.51 bpm"
200.190839002,"99.38 bpm"
200.794557823,"99.38 bpm"
201.398276643,"99.38 bpm"
202.001995464,"97.51 bpm"
202.617324263,"99.38 bpm"
203.221043083,"99.38 bpm"
203.824761904,"101.33 bpm"
204.416870748,"97.51 bpm"
205.032199546,"99.38 bpm"
205.635918367,"99.38 bpm"
206.239637188,"97.51 bpm"
206.854965986,"101.33 bpm"
207.447074829,"99.38 bpm"
208.050793650,"99.38 bpm"
208.654512471,"99.38 bpm"
209.258231292,"97.51 bpm"
209.873560090,"99.38 bpm"
210.477278911,"99.38 bpm"
211.080997732,"97.51 bpm"
211.696326530,"101.33 bpm"
212.288435374,"99.38 bpm"
212.892154195,"99.38 bpm"
213.495873015,"99.38 bpm"
214.099591836,"97.51 bpm"
214.714920634,"97.51 bpm"
215.330249433,"101.33 bpm"
215.922358276,"101.33 bpm"
216.514467120,"97.51 bpm"
217.129795918,"99.38 bpm"
217.733514739,"99.38 bpm"
218.337233560,"99.38 bpm"
218.940952380,"99.38 bpm"
219.544671201,"99.38 bpm"
220.148390022,"99.38 bpm"
220.752108843,"99.38 bpm"
221.355827664,"97.51 bpm"
221.971156462,"99.38 bpm"
222.574875283,"99.38 bpm"
223.178594104,"99.38 bpm"
223.782312925,"99.38 bpm"
224.386031746,"99.38 bpm"
224.989750566,"99.38 bpm"
225.593469387,"99.38 bpm"
226.197188208,"97.51 bpm"
226.812517006,"99.38 bpm"
227.416235827,"99.38 bpm"
228.019954648,"99.38 bpm"
228.623673469,"99.38 bpm"
229.227392290,"99.38 bpm"
229.831111111,"99.38 bpm"
230.434829931,"99.38 bpm"
231.038548752,"97.51 bpm"
231.653877551,"99.38 bpm"
232.257596371,"99.38 bpm"
232.861315192,"99.38 bpm"
233.465034013,"97.51 bpm"
234.080362811,"99.38 bpm"
